,geneProtein_label,therapy_label,disease_label,drug_label,NDCCode_label,combinationDrug_label,negGeProDr_label,firstLine,acceleratedApproval,acceleratedApprovalRate,metastatic
556,tamoxifen citrate,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,68071-5005-3,,,,,,
557,*,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,68071-5005-3,,tamoxifen,,,,
558,BRCA1,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,68071-5005-3,,,,,,
559,BRCA2,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,68071-5005-3,,,,,,
560,Tamoxifen citrate,Tamoxifen Citrate,Ductal carcinoma in situ,TAMOXIFEN CITRATE tablet,68071-5005-3,,,,,,
561,USP,Tamoxifen Citrate,Ductal carcinoma in situ,TAMOXIFEN CITRATE tablet,68071-5005-3,,,,,,
562,*,Tamoxifen Citrate,Ductal carcinoma in situ,TAMOXIFEN CITRATE tablet,68071-5005-3,,,,,,
563,estrogen receptor,Tamoxifen Citrate,Ductal carcinoma in situ,TAMOXIFEN CITRATE tablet,68071-5005-3,,,,,,
564,estrogen and progesterone receptor,Tamoxifen Citrate,Ductal carcinoma in situ,TAMOXIFEN CITRATE tablet,68071-5005-3,,,,,,
565,tamoxifen,Tamoxifen Citrate,Ductal carcinoma in situ,TAMOXIFEN CITRATE tablet,68071-5005-3,,,,,,
566,Tamoxifen,Tamoxifen Citrate,Ductal carcinoma in situ,TAMOXIFEN CITRATE tablet,68071-5005-3,,,,,,
567,tamoxifen citrate,Tamoxifen Citrate,Ductal carcinoma in situ,TAMOXIFEN CITRATE tablet,68071-5005-3,,,,,,
568,*,Tamoxifen Citrate,Ductal carcinoma in situ,TAMOXIFEN CITRATE tablet,68071-5005-3,,tamoxifen,,,,
569,BRCA1,Tamoxifen Citrate,Ductal carcinoma in situ,TAMOXIFEN CITRATE tablet,68071-5005-3,,,,,,
570,BRCA2,Tamoxifen Citrate,Ductal carcinoma in situ,TAMOXIFEN CITRATE tablet,68071-5005-3,,,,,,
571,Tamoxifen citrate,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"63187-976-30, 63187-976-60, 63187-976-90",,,,,,Yes
572,USP,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"63187-976-30, 63187-976-60, 63187-976-90",,,,,,Yes
573,*,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"63187-976-30, 63187-976-60, 63187-976-90",,,,,,Yes
574,estrogen receptor,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"63187-976-30, 63187-976-60, 63187-976-90",,,,,,
575,Tamoxifen citrate,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"63187-976-30, 63187-976-60, 63187-976-90",,,,,,
576,USP,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"63187-976-30, 63187-976-60, 63187-976-90",,,,,,
577,*,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"63187-976-30, 63187-976-60, 63187-976-90",,,,,,
578,estrogen and progesterone receptor,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"63187-976-30, 63187-976-60, 63187-976-90",,,,,,
579,tamoxifen,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"63187-976-30, 63187-976-60, 63187-976-90",,,,,,
580,Tamoxifen,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"63187-976-30, 63187-976-60, 63187-976-90",,,,,,
581,BOXED WARNING,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"63187-976-30, 63187-976-60, 63187-976-90",,tamoxifen,,,,
582,BRCA1,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"63187-976-30, 63187-976-60, 63187-976-90",,,,,,
583,tamoxifen citrate,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"63187-976-30, 63187-976-60, 63187-976-90",,,,,,
584,BRCA2,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"63187-976-30, 63187-976-60, 63187-976-90",,,,,,
585,tamoxifen citrate,Tamoxifen Citrate,Ductal carcinoma in situ,TAMOXIFEN CITRATE tablet,"63187-976-30, 63187-976-60, 63187-976-90",,,,,,
586,BOXED WARNING,Tamoxifen Citrate,Ductal carcinoma in situ,TAMOXIFEN CITRATE tablet,"63187-976-30, 63187-976-60, 63187-976-90",,,,,,
587,*,Tamoxifen Citrate,Ductal carcinoma in situ,TAMOXIFEN CITRATE tablet,"63187-976-30, 63187-976-60, 63187-976-90",,,,,,
588,Tamoxifen citrate,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"70518-2721-0, 70518-2721-1",,,,,,Yes
589,tamoxifen citrate,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"70518-2721-0, 70518-2721-1",,,,,,Yes
590,tamoxifen citrate,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"70518-2721-0, 70518-2721-1",,,,,,
591,estrogen receptor,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"70518-2721-0, 70518-2721-1",,,,,,
592,Tamoxifen citrate,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"70518-2721-0, 70518-2721-1",,,,,,
593,*,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"70518-2721-0, 70518-2721-1",,,,,,
594,progesterone-receptor,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"70518-2721-0, 70518-2721-1",,,,,,
595,tamoxifen citrate,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"70518-2721-0, 70518-2721-1",,tamoxifen citrate,,,,
596,tamoxifen,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"70518-2721-0, 70518-2721-1",,,,,,
597,BRCA1,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"70518-2721-0, 70518-2721-1",,,,,,
598,BRCA2,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"70518-2721-0, 70518-2721-1",,,,,,
599,tamoxifen citrate,Tamoxifen Citrate,Ductal carcinoma in situ,TAMOXIFEN CITRATE tablet,"70518-2721-0, 70518-2721-1",,,,,,
600,*,Tamoxifen Citrate,Ductal carcinoma in situ,TAMOXIFEN CITRATE tablet,"70518-2721-0, 70518-2721-1",,,,,,
601,*,Tamoxifen Citrate,Breast cancer,SOLTAMOX- tamoxifen citrate liquid,89141-123-01,,,,,,Yes
602,*,Tamoxifen Citrate,Breast cancer,SOLTAMOX- tamoxifen citrate liquid,89141-123-01,,,,,,
603,*,Tamoxifen Citrate,Ductal carcinoma in situ,SOLTAMOX- tamoxifen citrate liquid,89141-123-01,,,,,,
604,*,Toremifene,Breast cancer,FARESTON- toremifene citrate tablet,"42747-327-30, 42747-327-72",,,,,,Yes
605,ER/PR,Trastuzumab,Breast cancer,HERCEPTIN- trastuzumab kit,"50242-132-01, 50242-132-10, 50242-134-68",,,,,,
606,HER2,Trastuzumab,Breast cancer,HERCEPTIN- trastuzumab kit,"50242-132-01, 50242-132-10, 50242-134-68",,,,,,
607,Herceptin,Trastuzumab,Breast cancer,HERCEPTIN- trastuzumab kit,"50242-132-01, 50242-132-10, 50242-134-68",,,,,,
608,*,Trastuzumab,Breast cancer,HERCEPTIN- trastuzumab kit,"50242-132-01, 50242-132-10, 50242-134-68",paclitaxel,,Yes,,,Yes
609,ER/PR,Trastuzumab,gastroesophageal junction adenocarcinoma,HERCEPTIN- trastuzumab kit,"50242-132-01, 50242-132-10, 50242-134-68",,,,,,
610,HER2,Trastuzumab,gastroesophageal junction adenocarcinoma,HERCEPTIN- trastuzumab kit,"50242-132-01, 50242-132-10, 50242-134-68",,,,,,
611,Herceptin,Trastuzumab,gastroesophageal junction adenocarcinoma,HERCEPTIN- trastuzumab kit,"50242-132-01, 50242-132-10, 50242-134-68",,,,,,
612,*,Trastuzumab,gastroesophageal junction adenocarcinoma,HERCEPTIN- trastuzumab kit,"50242-132-01, 50242-132-10, 50242-134-68",paclitaxel,,,,,
613,*,Trastuzumab,gastroesophageal junction adenocarcinoma,HERCEPTIN- trastuzumab kit,"50242-132-01, 50242-132-10, 50242-134-68","cisplatin, 5-fluorouracil, capecitabine",,,,,
614,*,Trastuzumab,Stomach adenocarcinoma,HERCEPTIN- trastuzumab kit,"50242-132-01, 50242-132-10, 50242-134-68",,,,,,
615,human epidermal growth factor receptor 2,Fulvestrant,Breast cancer,FASLODEX- fulvestrant injection,0310-0720-10,,,,,,
616,*,Fulvestrant,Breast cancer,FASLODEX- fulvestrant injection,0310-0720-10,,,,,,Yes
617,*,Anastrozole,Breast cancer,ANASTROZOLE- anastrozole tablets tablet,"69117-0003-1, 69117-0003-4",,,,,,
618,hormone receptor,Anastrozole,Breast cancer,ANASTROZOLE- anastrozole tablets tablet,"69117-0003-1, 69117-0003-4",,,Yes,,,Yes
619,*,Anastrozole,Breast cancer,ANASTROZOLE- anastrozole tablets tablet,"69117-0003-1, 69117-0003-4",,tamoxifen,,,,
620,*,Anastrozole,Breast cancer,ANASTROZOLE tablet,"16729-035-10, 16729-035-15, 16729-035-16, 16729-035-17",,,,,,
621,hormone receptor,Anastrozole,Breast cancer,ANASTROZOLE tablet,"16729-035-10, 16729-035-15, 16729-035-16, 16729-035-17",,,Yes,,,Yes
622,*,Anastrozole,Breast cancer,ANASTROZOLE tablet,"16729-035-10, 16729-035-15, 16729-035-16, 16729-035-17",,tamoxifen,,,,
623,*,Anastrozole,Breast cancer,ANASTROZOLE tablet,67877-171-30,,,,,,
624,*,Anastrozole,Breast cancer,ANASTROZOLE tablet,67877-171-10,,,,,,
625,*,Anastrozole,Breast cancer,ANASTROZOLE tablet,"51991-620-10, 51991-620-33",,,,,,
626,hormone receptor,Anastrozole,Breast cancer,ANASTROZOLE tablet,"51991-620-10, 51991-620-33",,,Yes,,,Yes
627,*,Anastrozole,Breast cancer,ANASTROZOLE tablet,"51991-620-10, 51991-620-33",,tamoxifen,,,,
628,*,Anastrozole,Breast cancer,"ANASTROZOLE tablet, coated","68001-155-04, 68001-155-08",,,,,,
629,hormone receptor,Anastrozole,Breast cancer,"ANASTROZOLE tablet, coated","68001-155-04, 68001-155-08",,,,,,Yes
630,*,Anastrozole,Breast cancer,"ANASTROZOLE tablet, coated","68001-155-04, 68001-155-08",,tamoxifen,,,,
631,*,Anastrozole,Breast cancer,"ANASTROZOLE tablet, coated",62033-0376-6,,,,,,
632,hormone receptor,Anastrozole,Breast cancer,"ANASTROZOLE tablet, coated",62033-0376-6,,,,,,Yes
633,*,Anastrozole,Breast cancer,"ANASTROZOLE tablet, coated",62033-0376-6,,tamoxifen,,,,
634,*,Anastrozole,Breast cancer,"ANASTROZOLE tablet, coated","65841-743-06, 65841-743-10",,,,,,
635,*,Anastrozole,Breast cancer,"ANASTROZOLE tablet, coated","68382-209-06, 68382-209-10",,,,,,
636,hormone receptor,Anastrozole,Breast cancer,"ANASTROZOLE tablet, coated","68382-209-06, 68382-209-10",,,,,,Yes
637,*,Anastrozole,Breast cancer,"ANASTROZOLE tablet, coated","68382-209-06, 68382-209-10",,tamoxifen,,,,
638,*,Anastrozole,Breast cancer,"ANASTROZOLE tablet, film coated","59651-236-30, 59651-236-90",,,,,,
639,*,Anastrozole,Breast cancer,"ANASTROZOLE tablet, film coated","59651-236-30, 59651-236-90",,,,,,Yes
640,*,Anastrozole,Breast cancer,"ANASTROZOLE tablet, film coated","59651-236-30, 59651-236-90",,tamoxifen,,,,
641,*,Anastrozole,Breast cancer,"ANASTROZOLE tablet, film coated",62175-710-32,,,,,,
642,hormone receptor,Anastrozole,Breast cancer,"ANASTROZOLE tablet, film coated",62175-710-32,,,,,,Yes
643,*,Anastrozole,Breast cancer,"ANASTROZOLE tablet, film coated",62175-710-32,,tamoxifen,,,,
644,*,Anastrozole,Breast cancer,"ANASTROZOLE tablet, film coated",63672-0015-0,,,,,,
645,hormone receptor,Anastrozole,Breast cancer,"ANASTROZOLE tablet, film coated",63672-0015-0,,,,,,Yes
646,*,Anastrozole,Breast cancer,"ANASTROZOLE tablet, film coated",63672-0015-0,,tamoxifen,,,,
647,*,Anastrozole,Breast cancer,"ANASTROZOLE tablet, film coated",0093-7536-56,,,,,,
648,hormone receptor,Anastrozole,Breast cancer,"ANASTROZOLE tablet, film coated",0093-7536-56,,,,,,Yes
649,*,Anastrozole,Breast cancer,"ANASTROZOLE tablet, film coated",0093-7536-56,,tamoxifen,,,,
650,*,Anastrozole,Breast cancer,ANASTROZOLE tablet,76519-1224-3,,,,,,
651,*,Anastrozole,Breast cancer,ANASTROZOLE tablet,"63850-0010-1, 63850-0010-2",,,,,,
652,hormone receptor,Anastrozole,Breast cancer,ANASTROZOLE tablet,"63850-0010-1, 63850-0010-2",,,Yes,,,Yes
653,*,Anastrozole,Breast cancer,ANASTROZOLE tablet,"63850-0010-1, 63850-0010-2",,tamoxifen,,,,
654,*,Anastrozole,Breast cancer,ANASTROZOLE tablet,16571-421-03,,,,,,
655,*,Anastrozole,Breast cancer,ANASTROZOLE tablet,60763-376-06,,,,,,
656,hormone receptor,Anastrozole,Breast cancer,ANASTROZOLE tablet,60763-376-06,,,,,,Yes
657,*,Anastrozole,Breast cancer,ANASTROZOLE tablet,60763-376-06,,tamoxifen,,,,
658,*,Anastrozole,Breast cancer,TESTOSTERONE / ANASTROZOLE pellet,"69761-222-12, 69761-222-30",,,,,,
659,*,Anastrozole,Breast cancer,ANASTROZOLE tablet,"76420-004-12, 76420-004-15, 76420-004-20, 76420-004-30",,,,,,
660,hormone receptor,Anastrozole,Breast cancer,ANASTROZOLE tablet,"76420-004-12, 76420-004-15, 76420-004-20, 76420-004-30",,,Yes,,,Yes
661,*,Anastrozole,Breast cancer,ANASTROZOLE tablet,"76420-004-12, 76420-004-15, 76420-004-20, 76420-004-30",,tamoxifen,,,,
662,*,Anastrozole,Breast cancer,ANASTROZOLE tablet,"50090-5002-0, 50090-5002-1",,,,,,
663,hormone receptor,Anastrozole,Breast cancer,ANASTROZOLE tablet,"50090-5002-0, 50090-5002-1",,,Yes,,,Yes
664,*,Anastrozole,Breast cancer,ANASTROZOLE tablet,"50090-5002-0, 50090-5002-1",,tamoxifen,,,,
665,*,Exemestane,Breast cancer,EXEMESTANE tablet,47781-108-30,,,,,,
666,*,Exemestane,Breast cancer,EXEMESTANE tablet,70771-1374-3,,,,,,
667,*,Exemestane,Breast cancer,EXEMESTANE tablet,69097-316-02,,,,,,
668,*,Exemestane,Breast cancer,EXEMESTANE tablet,44278-025-30,,,,,,
669,*,Exemestane,Breast cancer,"EXEMESTANE tablet, film coated",65162-240-03,,,,,,
670,*,Exemestane,Breast cancer,"EXEMESTANE tablet, film coated","51991-005-33, 51991-005-90",,,,,,
671,*,Exemestane,Breast cancer,"EXEMESTANE tablet, film coated",71921-190-33,,,,,,
672,*,Exemestane,Breast cancer,"EXEMESTANE tablet, film coated",0378-5001-93,,,,,,
673,*,Exemestane,Breast cancer,"EXEMESTANE tablet, film coated",0054-0080-13,,,,,,
674,*,Exemestane,Breast cancer,"EXEMESTANE tablet, sugar coated",59762-2858-1,,,,,,
675,*,Exemestane,Breast cancer,EXEMESTANE tablet,0832-0595-30,,,,,,
676,*,Exemestane,Breast cancer,EXEMESTANE tablet,68382-383-06,,,,,,
677,*,Exemestane,Breast cancer,AROMASIN- exemestane tablet,54868-5261-0,,,,,,
678,*,Exemestane,Breast cancer,EXEMESTANE tablet,50090-5193-0,,,,,,
679,*,Exemestane,Breast cancer,"EXEMESTANE tablet, film coated",63629-2056-1,,,,,,
680,*,Exemestane,Breast cancer,AROMASIN- exemestane tablet,0009-7663-04,,,,,,
681,HER2,Lapatinib Ditosylate,Breast cancer,TYKERB- lapatinib tablet,0078-0671-19,"anthracycline, taxane, trastuzumab, capecitabine",,,,,Yes
682,human epidermal growth factor receptor 2,Lapatinib Ditosylate,Breast cancer,TYKERB- lapatinib tablet,0078-0671-19,"anthracycline, taxane, trastuzumab, capecitabine",,,,,Yes
683,*,Lapatinib Ditosylate,Breast cancer,TYKERB- lapatinib tablet,0078-0671-19,capecitabine,,,,,
684,HER2 receptor,Lapatinib Ditosylate,Breast cancer,TYKERB- lapatinib tablet,0078-0671-19,,,,,,Yes
685,aromatase,Lapatinib Ditosylate,Breast cancer,TYKERB- lapatinib tablet,0078-0671-19,,aromatase,,,,Yes
686,hormone receptor positive early breast cancer,Letrozole,Breast cancer,"LETROZOLE- letrozole tablets tablet, film coated",69117-0004-1,,,,,,
687,USP,Letrozole,Breast cancer,"LETROZOLE- letrozole tablets tablet, film coated",69117-0004-1,,,,,,
688,*,Letrozole,Breast cancer,"LETROZOLE- letrozole tablets tablet, film coated",69117-0004-1,,,,,,
689,USP,Letrozole,Breast cancer,"LETROZOLE- letrozole tablets tablet, film coated",69117-0004-1,,,Yes,,,Yes
690,hormone receptor positive early breast cancer,Letrozole,Breast cancer,LETROZOLE tablet,"51991-759-10, 51991-759-33",,,,,,
691,*,Letrozole,Breast cancer,LETROZOLE tablet,"51991-759-10, 51991-759-33",,,,,,
692,*,Letrozole,Breast cancer,LETROZOLE tablet,"51991-759-10, 51991-759-33",,,Yes,,,Yes
693,hormone receptor positive early breast cancer,Letrozole,Breast cancer,"LETROZOLE tablet, film coated","16729-034-01, 16729-034-10, 16729-034-15, 16729-034-16, 16729-034-17, 16729-034-43",,,,,,
694,*,Letrozole,Breast cancer,"LETROZOLE tablet, film coated","16729-034-01, 16729-034-10, 16729-034-15, 16729-034-16, 16729-034-17, 16729-034-43",,,,,,
695,*,Letrozole,Breast cancer,"LETROZOLE tablet, film coated","16729-034-01, 16729-034-10, 16729-034-15, 16729-034-16, 16729-034-17, 16729-034-43",,,,,,Yes
696,USP,Letrozole,Breast cancer,"LETROZOLE tablet, film coated","60505-3255-1, 60505-3255-3, 60505-3255-8",,,,,,Yes
697,USP,Letrozole,Breast cancer,"LETROZOLE tablet, film coated","60505-3255-1, 60505-3255-3, 60505-3255-8",,,,,,
698,*,Letrozole,Breast cancer,"LETROZOLE tablet, film coated",24535-0801-1,,,,,,
699,USP,Letrozole,Breast cancer,"LETROZOLE tablet, film coated",24535-0801-1,,,,,,
700,*,Letrozole,Breast cancer,"LETROZOLE tablet, film coated","59651-180-30, 59651-180-90",,,,,,
701,hormone receptor positive early breast cancer,Letrozole,Breast cancer,"LETROZOLE tablet, film coated","55111-646-30, 55111-646-78, 55111-646-79",,,,,,
702,*,Letrozole,Breast cancer,"LETROZOLE tablet, film coated","55111-646-30, 55111-646-78, 55111-646-79",,,,,,
703,*,Letrozole,Breast cancer,"LETROZOLE tablet, film coated","55111-646-30, 55111-646-78, 55111-646-79",,,,,,Yes
704,hormone receptor positive early breast cancer,Letrozole,Breast cancer,"LETROZOLE tablet, film coated",0093-7620-56,,,,,,
705,*,Letrozole,Breast cancer,"LETROZOLE tablet, film coated",0093-7620-56,,,,,,
706,*,Letrozole,Breast cancer,"LETROZOLE tablet, film coated",0093-7620-56,,,,,,Yes
707,hormone receptor positive early breast cancer,Letrozole,Breast cancer,LETROZOLE tablet,"24724-030-01, 24724-030-03",,,,,,
708,*,Letrozole,Breast cancer,LETROZOLE tablet,"24724-030-01, 24724-030-03",,,,,,
709,*,Letrozole,Breast cancer,LETROZOLE tablet,"24724-030-01, 24724-030-03",,,Yes,,,Yes
710,hormone receptor positive early breast cancer,Letrozole,Breast cancer,LETROZOLE tablet,57884-2021-1,,,,,,
711,*,Letrozole,Breast cancer,LETROZOLE tablet,57884-2021-1,,,,,,
712,*,Letrozole,Breast cancer,LETROZOLE tablet,57884-2021-1,,,Yes,,,Yes
713,hormone receptor positive early breast cancer,Letrozole,Breast cancer,LETROZOLE tablet,"63850-0025-1, 63850-0025-4",,,,,,
714,*,Letrozole,Breast cancer,LETROZOLE tablet,"63850-0025-1, 63850-0025-4",,,,,,
715,*,Letrozole,Breast cancer,LETROZOLE tablet,"63850-0025-1, 63850-0025-4",,,Yes,,,Yes
716,hormone receptor positive early breast cancer,Letrozole,Breast cancer,LETROZOLE tablet,"50268-476-11, 50268-476-15",,,,,,
717,*,Letrozole,Breast cancer,LETROZOLE tablet,"50268-476-11, 50268-476-15",,,,,,
718,*,Letrozole,Breast cancer,LETROZOLE tablet,"50268-476-11, 50268-476-15",,,Yes,,,Yes
719,hormone receptor positive early breast cancer,Letrozole,Breast cancer,LETROZOLE tablet,"71335-1526-1, 71335-1526-2, 71335-1526-3",,,,,,
720,*,Letrozole,Breast cancer,LETROZOLE tablet,"71335-1526-1, 71335-1526-2, 71335-1526-3",,,,,,
721,*,Letrozole,Breast cancer,LETROZOLE tablet,"71335-1526-1, 71335-1526-2, 71335-1526-3",,,Yes,,,Yes
722,hormone receptor positive early breast cancer,Letrozole,Breast cancer,"LETROZOLE tablet, film coated",50090-3474-0,,,,,,
723,*,Letrozole,Breast cancer,"LETROZOLE tablet, film coated",50090-3474-0,,,,,,
724,*,Letrozole,Breast cancer,"LETROZOLE tablet, film coated",50090-3474-0,,,,,,Yes
725,hormone receptor positive early breast cancer,Letrozole,Breast cancer,"LETROZOLE tablet, film coated",17856-0032-1,,,,,,
726,*,Letrozole,Breast cancer,"LETROZOLE tablet, film coated",17856-0032-1,,,,,,
727,*,Letrozole,Breast cancer,"LETROZOLE tablet, film coated",17856-0032-1,,,,,,Yes
728,hormone receptor positive early breast cancer,Letrozole,Breast cancer,"LETROZOLE tablet, film coated",42291-374-90,,,,,,
729,*,Letrozole,Breast cancer,"LETROZOLE tablet, film coated",42291-374-90,,,,,,
730,*,Letrozole,Breast cancer,"LETROZOLE tablet, film coated",42291-374-90,,,,,,Yes
731,hormone receptor positive early breast cancer,Letrozole,Breast cancer,"LETROZOLE tablet, film coated","63629-7819-1, 63629-7819-2, 63629-7819-4",,,,,,
732,*,Letrozole,Breast cancer,"LETROZOLE tablet, film coated","63629-7819-1, 63629-7819-2, 63629-7819-4",,,,,,
733,*,Letrozole,Breast cancer,"LETROZOLE tablet, film coated","63629-7819-1, 63629-7819-2, 63629-7819-4",,,,,,Yes
734,hormone receptor positive early breast cancer,Letrozole,Breast cancer,"LETROZOLE tablet, film coated",68071-5264-3,,,,,,
735,*,Letrozole,Breast cancer,"LETROZOLE tablet, film coated",68071-5264-3,,,,,,
736,*,Letrozole,Breast cancer,"LETROZOLE tablet, film coated",68071-5264-3,,,,,,Yes
737,*,Letrozole,Breast cancer,"LETROZOLE tablet, film coated",54868-6252-0,,,,,,
738,*,Letrozole,Breast cancer,"LETROZOLE tablet, film coated",54868-6252-0,,,,,,Yes
739,hormone receptor positive early breast cancer,Letrozole,Breast cancer,"LETROZOLE tablet, film coated",42254-243-30,,,,,,
740,*,Letrozole,Breast cancer,"LETROZOLE tablet, film coated",42254-243-30,,,,,,
741,*,Letrozole,Breast cancer,"LETROZOLE tablet, film coated",42254-243-30,,,,,,Yes
742,anti-HER2,Pertuzumab,Breast cancer,"PERJETA- pertuzumab injection, solution, concentrate",50242-145-01,"trastuzumab, docetaxel",anti-HER2,,,,Yes
743,*,Pertuzumab,Breast cancer,"PERJETA- pertuzumab injection, solution, concentrate",50242-145-01,trastuzumab,,,,,
744,*,Pertuzumab,Breast cancer,"PERJETA- pertuzumab injection, solution, concentrate",50242-145-01,,,,,,
745,*,Ado-Trastuzumab Emtansine,Breast cancer,"KADCYLA- ado-trastuzumab emtansine injection, powder, lyophilized, for solution","50242-087-01, 50242-088-01",,,,,,Yes
746,*,Ado-Trastuzumab Emtansine,Breast cancer,"KADCYLA- ado-trastuzumab emtansine injection, powder, lyophilized, for solution","50242-087-01, 50242-088-01",,,,,,
747,*,Palbociclib,Breast cancer,PALBOCICLIB powder,73309-167-01,,,,,,
748,aromatase,Palbociclib,Breast cancer,IBRANCE- palbociclib capsule,"0069-0187-21, 0069-0188-21, 0069-0189-21",,,,,,Yes
749,hormone receptor (HR)-positive,Palbociclib,Breast cancer,IBRANCE- palbociclib capsule,"0069-0187-21, 0069-0188-21, 0069-0189-21",,,,,,Yes
750,human epidermal growth factor receptor 2,Palbociclib,Breast cancer,IBRANCE- palbociclib capsule,"0069-0187-21, 0069-0188-21, 0069-0189-21",,,,,,Yes
751,hormone receptor,Palbociclib,Breast cancer,IBRANCE- palbociclib capsule,"0069-0187-21, 0069-0188-21, 0069-0189-21",,,,,,Yes
752,*,Palbociclib,Breast cancer,IBRANCE- palbociclib capsule,"63539-187-11, 63539-188-11, 63539-189-11",,,,Yes,,Yes
753,*,Palbociclib,Breast cancer,IBRANCE- palbociclib capsule,"63539-187-11, 63539-188-11, 63539-189-11",letrozole,,,Yes,,
754,*,Palbociclib,Breast cancer,IBRANCE- palbociclib capsule,"63539-187-11, 63539-188-11, 63539-189-11",,,,Yes,,
755,aromatase,Palbociclib,Breast cancer,"IBRANCE- palbociclib tablet, film coated","0069-0284-03, 0069-0284-07, 0069-0486-03, 0069-0486-07, 0069-0688-03, 0069-0688-07",,,,,,Yes
756,hormone receptor (HR)-positive,Palbociclib,Breast cancer,"IBRANCE- palbociclib tablet, film coated","0069-0284-03, 0069-0284-07, 0069-0486-03, 0069-0486-07, 0069-0688-03, 0069-0688-07",,,,,,Yes
757,human epidermal growth factor receptor 2,Palbociclib,Breast cancer,"IBRANCE- palbociclib tablet, film coated","0069-0284-03, 0069-0284-07, 0069-0486-03, 0069-0486-07, 0069-0688-03, 0069-0688-07",,,,,,Yes
758,hormone receptor,Palbociclib,Breast cancer,"IBRANCE- palbociclib tablet, film coated","0069-0284-03, 0069-0284-07, 0069-0486-03, 0069-0486-07, 0069-0688-03, 0069-0688-07",,,,,,Yes
759,aromatase,Palbociclib,Breast cancer,"IBRANCE- palbociclib tablet, film coated","63539-284-03, 63539-284-07, 63539-486-03, 63539-486-07, 63539-688-03, 63539-688-07",,,,,,Yes
760,hormone receptor (HR)-positive,Palbociclib,Breast cancer,"IBRANCE- palbociclib tablet, film coated","63539-284-03, 63539-284-07, 63539-486-03, 63539-486-07, 63539-688-03, 63539-688-07",,,,,,Yes
761,human epidermal growth factor receptor 2,Palbociclib,Breast cancer,"IBRANCE- palbociclib tablet, film coated","63539-284-03, 63539-284-07, 63539-486-03, 63539-486-07, 63539-688-03, 63539-688-07",,,,,,Yes
762,hormone receptor,Palbociclib,Breast cancer,"IBRANCE- palbociclib tablet, film coated","63539-284-03, 63539-284-07, 63539-486-03, 63539-486-07, 63539-688-03, 63539-688-07",,,,,,Yes
763,aromatase,Ribociclib,Breast cancer,"KISQALI- ribociclib tablet, film coated","0078-0860-01, 0078-0867-14, 0078-0867-42, 0078-0874-21, 0078-0874-63",fulvestrant,,,,,Yes
764,hormone receptor (HR)-positive,Ribociclib,Breast cancer,"KISQALI- ribociclib tablet, film coated","0078-0860-01, 0078-0867-14, 0078-0867-42, 0078-0874-21, 0078-0874-63",fulvestrant,,,,,Yes
765,human epidermal growth factor receptor 2,Ribociclib,Breast cancer,"KISQALI- ribociclib tablet, film coated","0078-0860-01, 0078-0867-14, 0078-0867-42, 0078-0874-21, 0078-0874-63",fulvestrant,,,,,Yes
766,human epidermal growth factor receptor 2,Neratinib Maleate,Breast cancer,NERLYNX- neratinib tablet,"70437-240-18, 70437-240-26, 70437-240-33",,,,,,
767,anti-HER2,Neratinib Maleate,Breast cancer,NERLYNX- neratinib tablet,"70437-240-18, 70437-240-26, 70437-240-33",capecitabine,,,,,Yes
